data_lenth, frameIdx, cars_speed(m/s), heading_angle(degree), ground_noise, cfar_num, x(m), y(m), z(m), distance(m), speed(m/s), azi_angle(degree), pitch_angle(degree), range_Idx, doppler_Idx, angle_Idx, SNR
49 ,32735 ,0.00 ,0.00 ,1073 ,1 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
49 ,32736 ,0.00 ,0.00 ,1061 ,1 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
68 ,32737 ,0.00 ,0.00 ,1046 ,2 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
68 ,32737 ,0.00 ,0.00 ,1046 ,2 ,-11.50 ,7.78 ,-0.16 ,13.89 ,-0.73 ,-55.90 ,-0.68, 333, 121, 255, 16
49 ,32738 ,0.00 ,0.00 ,1047 ,1 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
68 ,32742 ,0.00 ,0.00 ,1065 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32742 ,0.00 ,0.00 ,1065 ,2 ,-11.02 ,7.39 ,0.99 ,13.31 ,-1.47 ,-55.90 ,4.30, 319, 114, 255, 18
68 ,32743 ,0.00 ,0.00 ,1041 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32743 ,0.00 ,0.00 ,1041 ,2 ,-11.02 ,7.44 ,0.57 ,13.31 ,-1.47 ,-55.90 ,2.47, 319, 114, 255, 18
87 ,32744 ,0.00 ,0.00 ,1064 ,3 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
87 ,32744 ,0.00 ,0.00 ,1064 ,3 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
87 ,32744 ,0.00 ,0.00 ,1064 ,3 ,-10.74 ,7.70 ,-0.30 ,13.23 ,-1.26 ,-54.34 ,-1.32, 317, 116, 255, 15
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.61 ,7.56 ,0.87 ,13.06 ,-1.26 ,-54.34 ,3.82, 313, 116, 255, 18
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.85 ,7.33 ,0.48 ,13.10 ,-1.15 ,-55.90 ,2.10, 314, 117, 255, 18
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.47 ,7.94 ,0.00 ,13.14 ,-1.26 ,-52.83 ,0.03, 315, 116, 255, 15
68 ,32746 ,0.00 ,0.00 ,1043 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32746 ,0.00 ,0.00 ,1043 ,2 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.71 ,7.18 ,0.99 ,12.93 ,-1.15 ,-55.90 ,4.43, 310, 117, 255, 18
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.74 ,7.22 ,0.84 ,12.97 ,-1.15 ,-55.90 ,3.72, 311, 117, 255, 16
68 ,32748 ,0.00 ,0.00 ,1051 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
